id,city,city_long,station,fsac,scac,splc,state,time_zone,longitude,latitude,country
1,VERNON,VERNON,VERNON,23006,BNSF,883628000,CA,PT,-118.195640,34.008382,US
2,GRENADA,GRENADA,GRENADA,58794,GRYR,483530000,MS,CT,-89.797100,33.782400,US
3,PRINCETON,PRINCETON,PRINCETON,11803,PAL,298360000,KY,CT,-87.881944,37.109167,US
4,HEAFER,HEAFER,HEAFER,53092,UP,687570000,TX,CT,-98.576005,29.353842,US
5,ELLIOTT,ELLIOTT,ELLIOTT,58802,GRYR,483587000,MS,CT,-89.753900,33.689800,US
6,BALDWIN,BALDWIN,BALDWIN,14765,CSXT,491385000,FL,ET,-81.976593,30.296311,US
7,ANSLEY,ANSLEY,ANSLEY,49382,CSXT,488980000,MS,CT,-89.482457,30.226304,US
8,STGABRIEL,SAINT GABRIEL,ST GABRIEL,59300,CN,645364000,LA,CT,-91.100190,30.259510,US
9,DURANT,DURANT,DURANT,202,IAIS,534868000,IA,CT,-90.910556,41.599722,US
10,VARNONS,VARNONS,VARNONS,47256,CSXT,472969000,AL,CT,-86.757951,33.152375,US
11,LLOYDMINS,LLOYDMINSTER,LLOYDMINSTER,87120,CN,83380000,AB,MT,-110.006868,53.284992,CA
12,MICHOUD,MICHOUD,MICHOUD,49420,CSXT,647011000,LA,CT,-89.925833,30.030000,US
13,HEMPSTEAD,HEMPSTEAD,HEMPSTEAD,58714,UP,685033000,TX,CT,-96.082023,30.107591,US
49,MEMPHIS,MEMPHIS,MEMPHIS,58582,CN,439900000,TN,CT,-90.058000,35.120900,US
58,LAKCITY,LAKE CITY,LAKE CITY,14435,FGA,492450000,FL,ET,-82.655631,30.197197,US
102,WAYCROSS,WAYCROSS,WAYCROSS,13113,CSXT,466430000,GA,ET,-82.341620,31.188563,US
187,BATESVILL,BATESVILLE,BATESVILLE,58766,GRYR,482657000,MS,CT,-89.958000,34.310200,US
249,CHICAGO,CHICAGO,CHICAGO,5,BOCT,380000000,IL,CT,-87.644562,41.650283,US
265,NASHVILLE,NASHVILLE,NASHVILLE TOFC,98015,CSXT,434300000,TN,CT,-86.772359,36.120856,US
271,MONTGOMER,MONTGOMERY,MONTGOMERY,15668,CSXT,475630000,AL,CT,-86.314877,32.396300,US
327,GOULDING,GOULDING,GOULDING,49073,CSXT,494981000,FL,CT,-87.225318,30.447302,US
329,PENSACOLA,PENSACOLA,PENSACOLA,49075,FGA,494970000,FL,CT,-87.214117,30.419603,US
369,NLITROCK,NORTH LITTLE ROCK,NORTH LITTLE ROCK,51776,UP,612137000,AR,CT,-92.230666,34.770649,US
371,JAX,JAX,JAX,51769,UP,612108000,AR,CT,-92.091322,34.878962,US
372,WACROSS,WACROSS,WACROSS,51767,UP,611320000,AR,CT,-91.969848,35.010313,US
373,BALKNOB,BALD KNOB,BALD KNOB,51750,UP,607227000,AR,CT,-91.563552,35.311849,US
374,NEWAUGUST,NEW AUGUSTA,NEW AUGUSTA,52394,UP,607140000,AR,CT,-91.340280,35.265968,US
375,WYNNE,WYNNE,WYNNE,52198,UP,605470000,AR,CT,-90.793984,35.225425,US
376,CRAWFORDS,CRAWFORDSVILLE,CRAWFORDSVILLE,52410,UP,605172000,AR,CT,-90.324856,35.222674,US
377,MARION,MARION,MARION,52415,UP,605153000,AR,CT,-90.263106,35.197229,US
378,PREJCT,PRESLEY JCT,PRESLEY JCT,52414,UP,605152000,AR,CT,-90.188368,35.178990,US
379,BRIJCT,BRIDGE JCT,BRIDGE JCT,52420,UP,605157000,AR,CT,-90.094976,35.143040,US
380,KENSTREET,KENTUCKY STREET,KENTUCKY STREET,52421,UP,439982000,TN,CT,-90.062448,35.127042,US
381,MEMPHIS,MEMPHIS,MEMPHIS,52422,UP,439900000,TN,CT,-90.017944,35.122919,US
446,BIRMINGHA,BIRMINGHAM,SOUTH BIRMINGHAM,98110,CSXT,472600000,AL,CT,-86.810000,33.500000,US
450,CALERA,CALERA,CALERA,47262,CSXT,472983000,AL,CT,-86.751312,33.119703,US
522,SANDERSON,SANDERSON,SANDERSON,24210,FGA,492270000,FL,ET,-82.275608,30.249343,US
561,DANVILLE,DANVILLE,DANVILLE,40548,CSXT,387650000,IL,CT,-87.614690,40.142139,US
562,EVANSVILL,EVANSVILLE,EVANSVILLE ACBL,66091,CSXT,379500000,IN,CT,-87.607296,37.968292,US
788,MANCHESTE,MANCHESTER,MANCHESTER,13635,CSXT,459882000,GA,ET,-84.596802,32.855340,US
889,ROCISLAND,ROCK ISLAND,ROCK ISLAND,181,IAIS,386260000,IL,CT,-90.574860,41.512340,US
890,SILVIS,SILVIS,SILVIS SHOPS,174,IAIS,386235000,IL,CT,-90.415000,41.512222,US
891,MINERAL,MINERAL,MINERAL,142,IAIS,385193000,IL,CT,-89.836389,41.382500,US
892,BLUISLAND,BLUE ISLAND,BLUE ISLAND,15,IAIS,381380000,IL,CT,-87.524898,41.548627,US
893,CHICAGO,CHICAGO,CHICAGO,10,IAIS,380000000,IL,CT,-87.640087,41.649953,US
2061,STOCKTON,STOCKTON,STOCKTON,199,IAIS,534913000,IA,CT,-90.858611,41.591389,US
2284,DAVENPORT,DAVENPORT,DAVENPORT,183,IAIS,534580000,IA,CT,-90.575910,41.519500,US
